GENOTYPE,Gaillac.2012.OPT,Karlsruhe.2012.WD,Karlsruhe.2012.OPT,Debrecen.2012.OPT,Debrecen.2012.WD,Debrecen.2013.WD,Martonvasar.2013.OPT,Martonvasar.2013.WD,Karlsruhe.2013.WD,Karlsruhe.2013.OPT,Gaillac.2013.WD,Murony.2013.OPT,Murony.2013.WD,Gaillac.2013.OPT,Nerac.2013.WD,Craiova.2012.OPT,Campagnola.2013.OPT,Campagnola.2013.WD,Nerac.2013.OPT,Nerac.2012.WD,Nerac.2012.OPT,Craiova.2012.WD,Campagnola.2012.OPT,Campagnola.2012.WD,Graneros.2013.WD
H99,109.0154677,91.79839307,96.44259323,63.67251997,52.93606627,60.67724957,105.0510341,58.99016781,74.44885903,66.5994705,78.92691625,81.75623794,63.59630563,99.60967663,31.49789056,39.88391605,45.81434497,30.51487732,67.5005613,40.68078077,77.92272081,14.19105903,45.2938377,16.26535813,61.93714667
HMV5301,122.7678649,118.1973102,105.7387331,63.52947142,55.78550716,63.96714479,117.0850329,108.6378392,105.444168,69.34931544,86.14383237,83.12985368,87.033144,113.347792,50.91367148,46.8546219,65.37945522,42.65296033,98.75883505,61.85211739,100.3511012,11.15750357,58.12550335,28.44387218,87.72732
HMV5325,108.2639324,103.4274674,110.300384,63.8704685,49.0386847,57.58737293,92.46265759,97.76915171,109.7632867,73.35171583,91.083997,77.27110603,76.44890768,101.6780438,42.24367251,45.28169054,43.41012778,43.65780571,86.64481334,54.92216086,97.77757686,22.39409208,52.15714529,34.40748539,86.97629379
HMV5343,107.8753281,87.02867659,91.71303496,70.17058149,61.55764531,54.21036253,100.0066883,80.42753577,89.25832866,76.57723569,76.6257389,83.73822762,73.51288821,104.7602518,25.5806421,57.17465412,47.34588148,40.42716565,69.59378173,56.40104569,87.35555369,17.14042219,44.18986859,21.68618115,71.42481051
HMV5347,108.4293018,99.61094241,101.3940379,57.8347467,45.86181151,62.24899381,114.6725463,73.49054213,87.68190966,77.57599029,79.9814805,59.50911863,61.43843724,102.19419,37.54296692,46.6950265,49.13119936,42.24615441,83.05854963,43.10758654,80.93911417,24.03811951,54.92347549,29.00582605,67.99050941
HMV5405,121.8980579,113.764313,103.8371669,72.11375267,59.57416902,45.49614931,121.8317404,88.8433627,95.69500133,78.75819957,85.4516112,92.30712398,78.74395084,107.8761577,45.86056697,64.1869101,50.36386918,39.58839552,74.18850142,60.30464476,102.1578962,19.64101668,55.04232221,22.71329248,87.38610562
HMV5409,124.2572152,96.87485447,87.73522883,69.331238,54.94086061,67.97487333,104.4299616,89.86037116,90.30444522,82.97594526,71.05527587,74.47188719,64.31689983,100.3794489,37.00691177,41.84789754,45.81890301,28.60859031,76.78134691,46.96234451,88.12703215,13.95328788,55.03276847,30.45069693,72.08301798
HMV5422,135.0882231,114.6851739,88.14419306,76.26077061,65.66144428,72.50494263,121.5192689,96.27578451,121.4380421,110.6818186,79.70295424,95.24472422,86.4435436,122.7148257,47.00445686,53.45739343,47.20585224,40.25391282,90.51649573,65.57723331,112.5898187,23.87448225,66.28374181,33.74729717,80.01110082
HMV5502,121.6031704,106.9995271,107.0364727,57.47129348,54.9015122,63.74979579,107.7420577,84.39704451,112.1869716,79.09936729,87.15010442,81.1386886,73.74267871,105.8550918,46.27278301,55.31128167,53.55931431,45.24098858,87.9414527,50.13189302,99.46480525,21.00612767,71.24325302,35.67277054,81.39377919
I198,100.8242552,81.50579042,107.8393838,60.78170867,49.22569378,65.6503865,106.1652989,64.27715449,85.62081539,85.08913659,70.40695369,65.42039657,62.92887817,97.51612446,45.31210395,53.59313037,50.11786297,25.97640697,70.42500445,45.57568613,86.56845595,20.11091328,28.95961484,12.84048617,45.96698369
I205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I238,124.7615142,100.8777144,91.04192901,73.89644872,56.68492905,57.46177032,116.471567,59.05845718,90.5508953,70.201863,70.96111848,86.17233343,70.90740968,106.6752123,37.7227795,53.03485176,59.81210889,39.47504211,73.09863559,43.05094709,98.95885103,13.53017591,51.33634686,22.31127133,64.28557843
I242,119.1348735,81.79545525,74.99978695,54.01575795,43.45544519,51.5143152,81.25529572,74.11657735,99.67037801,88.1439707,71.51161369,50.49031731,57.62974854,102.6152155,30.97899143,34.51424184,42.36072098,32.91999827,87.86140143,37.95630043,91.74658081,8.66970764,17.9275758,6.56655662,54.60090025
I261,108.7123912,95.2884961,97.16336018,70.96403095,37.2651807,53.20752162,96.00033077,81.31555934,86.29391982,61.29168788,77.75251757,64.2318384,45.83065679,100.4996816,43.76269598,40.85231914,52.89335236,34.91459486,71.93384497,43.81824017,98.80541522,22.8531059,23.3887097,13.89638068,41.13237363
IDT,108.5823771,107.1490601,88.197251,64.26444283,46.36174773,50.89450924,98.08177541,86.62532736,83.82134617,68.46335257,78.45229284,84.50948123,75.18030975,102.7912922,25.51653762,31.65365983,46.62197668,25.14718244,71.51035001,21.12382406,79.79469343,17.04831695,31.41195356,6.21451235,52.2974193
